lsoa11cd,lsoa21cd,lsoa21nm,n_properties,avg_epc_score,avg_epc_rating_num,pct_epc_ABC,avg_floor_area,avg_rooms,overcrowding_idx,median_house_price,transport_ptai,ptal_grade,ptai_high,ptai_low,hospital,GP,pharmacy,hospital_rnk,hospital_pct,domain_h,ahah,overcrowding_proxy,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al,HEI_bayes,HEI_bayes_uncert,HEI_bayes_lo,HEI_bayes_hi,HEI_equal,HEI_pca,HEI_quintile
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,425000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.10490199944788484,0.8966846713718452,0.8131177614892235,0.7241198875528306,0.4815309137784823,0.7280821627873036,0.7259379799221566,0.6109454480735906,0.656308054932155,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,425000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.13645147296604568,0.8966846713718452,0.8131177614892235,0.7245495754958388,0.16026952149824683,0.7381410340109227,0.7142092679746507,0.6291254164163198,0.657037301693847,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,425000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.1520290255156376,0.8966846713718452,0.8131177614892235,0.7401154342053009,0.7202639154349593,0.7423946883328064,0.7449158973354983,0.6381017757855417,0.6573973672824325,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,425000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.13921205189888475,0.8966846713718452,0.8131177614892235,0.7376071759431535,0.30680116135943764,0.7347297821987129,0.7297586814768793,0.6307161636463084,0.6571011107854952,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,465000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.10490199944788484,0.8966846713718452,0.8131177614892235,0.7241198875528306,0.4815309137784823,0.7280821627873036,0.7259379799221566,0.6109454480735906,0.656308054932155,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,465000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.13645147296604568,0.8966846713718452,0.8131177614892235,0.7245495754958388,0.16026952149824683,0.7381410340109227,0.7142092679746507,0.6291254164163198,0.657037301693847,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,465000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.1520290255156376,0.8966846713718452,0.8131177614892235,0.7401154342053009,0.7202639154349593,0.7423946883328064,0.7449158973354983,0.6381017757855417,0.6573973672824325,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,465000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.13921205189888475,0.8966846713718452,0.8131177614892235,0.7376071759431535,0.30680116135943764,0.7347297821987129,0.7297586814768793,0.6307161636463084,0.6571011107854952,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,484750.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.10490199944788484,0.8966846713718452,0.8131177614892235,0.7241198875528306,0.4815309137784823,0.7280821627873036,0.7259379799221566,0.6109454480735906,0.656308054932155,Q5 (worst)
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,484750.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316,0.0041870388692325095,0.5014798404726882,0.6421849822839356,0.13645147296604568,0.8966846713718452,0.8131177614892235,0.7245495754958388,0.16026952149824683,0.7381410340109227,0.7142092679746507,0.6291254164163198,0.657037301693847,Q5 (worst)
