lsoa21cd,lsoa21nm,HEI_bayes,HEI_bayes_uncert,HEI_quintile,HEI_adjusted,rank_bayes,rank_adjusted,rank_change,pop_cluster,pop_label,zone_type,pct_epc_ABC,pct_poor_health,pct_fair_health,pct_good_health,pct_high_nssec,pct_low_nssec,pct_intermediate,pct_elderly_alone,pct_single,pct_dep_children,pct_lone_parent,pct_long_commute,pct_home_work,pct_short_commute,pct_deprived_any,pct_deprived_2plus,pct_large_hh,pct_small_hh,overcrowding_proxy,transport_ptai,hospital,median_house_price,avg_epc_rating_num
E01003911,Southwark 020A,0.7241198875528306,0.4815309137784823,Q5 (worst),0.3280765899708554,151.0,48.0,-103.0,2,Deprived,Double Deprivation,44.82338611449452,0.03778096604495457,0.09086561453849833,0.8713534194165471,0.31525625744934443,0.30274135876042907,0.0768772348033373,0.05423280423280423,0.27116402116402116,0.3306878306878307,0.14417989417989419,0.023529411764705882,0.33137254901960783,0.27941176470588236,0.5872170439414115,0.22503328894806923,0.1205298013245033,0.5774834437086093,0.0041870388692325,14.285,1.0262345679012346,425000.0,4.4167725540025415
E01003912,Southwark 019A,0.7889974912816958,0.6163740148200877,Q5 (worst),0.3320178947785282,162.0,50.0,-112.0,2,Deprived,Double Deprivation,30.0,0.042390194075587334,0.1128702757916241,0.8447395301327886,0.1620879120879121,0.3983516483516483,0.07623626373626374,0.046546546546546545,0.2777777777777778,0.4444444444444444,0.24024024024024024,0.033045977011494254,0.19827586206896552,0.3146551724137931,0.657185628742515,0.2754491017964072,0.1263001485884101,0.5438335809806835,0.0045196606619655,13.4737,1.198,,4.235820895522388
E01003913,Southwark 024A,0.6759662793958232,0.3964136149033741,Q4,0.25925122004631584,131.0,23.0,-108.0,3,Family,Housing Deprived,40.35087719298245,0.021589793915603533,0.09666339548577037,0.8817468105986261,0.5113636363636364,0.20738636363636365,0.06988636363636364,0.07168458781362007,0.2998805256869773,0.25567502986857826,0.09199522102747909,0.019464720194647202,0.5125709651257097,0.21573398215733983,0.43364928909952605,0.11374407582938388,0.06818181818181818,0.6232057416267942,0.0029032764274262,25.1306,0.8804761904761905,675000.0,4.31227651966627
E01003914,Southwark 024B,0.6886343826471837,0.4349221195336944,Q4,0.13966073489732192,135.0,10.0,-125.0,3,Family,Housing Deprived,32.46913580246913,0.040474905558553695,0.09821910415542363,0.8613059902860226,0.5212307692307693,0.2,0.064,0.08683473389355742,0.2773109243697479,0.226890756302521,0.056022408963585436,0.016873889875666074,0.5754884547069272,0.15630550621669628,0.48055555555555557,0.18333333333333332,0.08611111111111111,0.6125,0.0026407346742153,13.8509,0.9488505747126436,617500.0,4.218228498074454
E01003915,Southwark 024C,0.4546784957616913,0.3764947247314451,Q2,0.38705168513474375,39.0,68.0,29.0,0,Mixed_0,Housing Advantaged,64.30260047281324,0.05612520237452779,0.11009174311926606,0.8337830545062062,0.3668974197608559,0.329137822529893,0.08558842039018251,0.06508135168961202,0.327909887359199,0.2265331664580726,0.09136420525657071,0.029684601113172542,0.4035250463821892,0.21706864564007422,0.5732165206508135,0.2327909887359199,0.07365792759051186,0.6729088639200999,0.0034501969966863,7.36537,1.5219999999999998,424500.0,4.637575757575758
E01003916,Southwark 020B,0.579094488852276,0.4155726914579382,Q3,0.2591763188229334,96.0,22.0,-74.0,0,Mixed_0,Mixed,46.62447257383967,0.02198257984238905,0.08710078805474906,0.8909166321028619,0.3705682370082564,0.26226323457989315,0.06799417192812045,0.053964757709251104,0.30506607929515417,0.2433920704845815,0.07929515418502203,0.020527859237536656,0.41055718475073316,0.23900293255131966,0.5169769989047097,0.1533406352683461,0.10176991150442478,0.6139380530973452,0.0033834712037301,7.25009,1.3159420289855073,415500.0,4.424688561721404
E01003917,Southwark 020C,0.5856230187881901,0.3349469755669563,Q3,0.27002388715807657,101.0,27.0,-74.0,0,Mixed_0,Mixed,47.77542372881356,0.04656084656084656,0.11904761904761904,0.8343915343915344,0.41625,0.3125,0.07,0.11542857142857142,0.3942857142857143,0.19657142857142856,0.09028571428571429,0.018095238095238095,0.4838095238095238,0.22095238095238096,0.5480549199084668,0.2334096109839817,0.06199770378874857,0.7175660160734788,0.0035487597600197,12.0831,1.261111111111111,363000.0,4.428246013667426
E01003918,Southwark 020D,0.8231904372819979,0.4282146627053022,Q5 (worst),0.29193791318667994,168.0,35.0,-133.0,2,Deprived,Double Deprivation,37.518910741301056,0.05460750853242321,0.1242320819112628,0.821160409556314,0.3502454991816694,0.3657937806873977,0.08428805237315876,0.16129032258064516,0.3794162826420891,0.23195084485407066,0.1152073732718894,0.020107238605898123,0.40482573726541554,0.2386058981233244,0.5978428351309707,0.3050847457627119,0.07751937984496124,0.6713178294573643,0.004313729966,18.7464,0.6363095238095238,380000.0,4.432323232323232
E01003919,Southwark 021A,0.6377960761258022,0.4783333451382384,Q4,0.22675335075952963,114.0,18.0,-96.0,0,Mixed_0,Housing Deprived,33.85714285714286,0.03706070287539936,0.11054313099041534,0.8523961661341853,0.44379562043795623,0.2613138686131387,0.07372262773722628,0.08029197080291971,0.362043795620438,0.2,0.05547445255474453,0.012345679012345678,0.5263748597081931,0.20875420875420875,0.5286343612334802,0.1762114537444934,0.07737226277372262,0.6832116788321168,0.0030519193003622,20.7302,1.114367816091954,552500.0,4.2578616352201255
E01003920,Southwark 021B,0.7180475139463978,0.1908404862804878,Q5 (worst),0.40937274524270567,149.0,79.0,-70.0,2,Deprived,Double Deprivation,37.953091684434966,0.05413105413105413,0.1087369420702754,0.8371320037986705,0.317735413056037,0.35759676487579434,0.09820912767186597,0.06375838926174497,0.3389261744966443,0.28747203579418346,0.14093959731543623,0.02631578947368421,0.32800751879699247,0.29793233082706766,0.5960482985729967,0.24368825466520308,0.08149779735682819,0.6651982378854625,0.004727440024152,21.9918,1.0484375,332500.0,4.476327116212339
