lsoa21cd,lsoa21nm,gw_load_avg_epc_rating_num_al,gw_load_overcrowding_proxy_al,gw_load_median_house_price_al,gw_load_transport_ptai_al,gw_load_hospital_al,gw_var_exp,gw_score,gw_dominant
E01003912,Southwark 019A,-0.9463562759730582,-0.1188363574332158,-0.23549167964251366,0.0726314192883366,-0.17191877393036473,0.6518245576151173,-0.27072660313117436,"EPC
(inv)"
E01003923,Southwark 017A,0.28400201937295066,0.7043239866313759,-0.09285767486353,-0.15794429743105148,0.6242608637226286,0.5329391588859593,0.04012443798849443,Overcrowding
E01003924,Southwark 021E,0.15356618357337928,0.8644932269906092,-0.1914020259620079,-0.18219801966697094,0.399046405618624,0.6104409666109271,0.3717112912354146,Overcrowding
E01003925,Southwark 020E,0.13047212490778312,0.8109064909336247,-0.09534092157916113,-0.3092843696762642,0.4697456491870421,0.6475478506139515,-0.045576444001990624,Overcrowding
E01003926,Southwark 021F,0.21282609341685652,0.7704694566448268,-0.1368052629860916,-0.1814281424423772,0.5562823199487471,0.5228327224717615,-0.15462369911930113,Overcrowding
E01003936,Southwark 009A,0.16547020953921165,0.27422892646664465,0.0026361291219663334,-0.8854808883772953,0.3366522728065405,0.5201473557559074,-0.07597509473257288,"Transport
(inv)"
E01003937,Southwark 009B,-0.5482942842217005,0.5397696029084232,-0.29051509798798514,0.5174668072103358,-0.23632865874131512,0.4874996475638278,-0.09880070605482939,"EPC
(inv)"
E01003938,Southwark 006A,0.014817521301108834,0.0928097223464393,0.31920775390471723,-0.9193397279081981,0.20997064327484932,0.6174279194809187,0.03871119901465355,"Transport
(inv)"
E01003940,Southwark 006B,-0.14371185703407813,0.1562952032505064,0.1500828592932588,-0.920846301083549,0.29057862398291656,0.5960582521686529,-0.11118799904882752,"Transport
(inv)"
E01003941,Southwark 006C,-0.2438849259453976,0.1626831720556925,-0.021297850640895514,-0.9309213760848577,0.21676282322589063,0.5031169698462643,-0.12301486205987468,"Transport
(inv)"
E01003943,Southwark 009C,-0.5665186740866773,0.5998867796506603,-0.28267958539380306,0.32690017715720404,-0.3638969217891368,0.5134257407546504,-0.1166164607681451,Overcrowding
E01003954,Southwark 030B,0.08629605489713997,-0.04610889132595902,0.03809959512178068,-0.08067564944477743,0.9911946435933259,0.5604438784091998,0.032059859733137776,"Hospital
(inv)"
E01003958,Southwark 032D,0.3554844429389118,-0.27664216369601713,0.5493891871386812,-0.010623473896027273,0.7036750577869564,0.6940832315513704,-0.02375203865587093,"Hospital
(inv)"
E01003963,Southwark 016A,-0.056699906760628964,0.32965231078725543,0.20294125679832342,-0.8999267902933259,0.19251257872520225,0.4562131372435663,-0.06991960194934747,"Transport
(inv)"
E01003971,Southwark 015D,-0.8990040634156635,-0.2256613801568087,0.23697139976871903,0.1736062365349444,0.2336109282453991,0.4704222522987958,0.1348927044314687,"EPC
(inv)"
E01003972,Southwark 016D,0.0848594760531473,0.6745247020914507,0.00987481492176852,-0.6514923420823638,-0.3365642759276784,0.46900995869802353,-0.0028089646839010215,Overcrowding
E01003973,Southwark 016E,-0.16993365025105472,0.7595285483098175,0.06301767942922888,-0.6137672643364089,-0.11643648965461094,0.435727918430313,0.09328317979656886,Overcrowding
E01003975,Southwark 004A,-0.02253473236360512,-0.21089717696479263,0.7573585808979155,-0.616626740189585,0.03455444702267243,0.7490966481059392,-0.11170623281985176,Price
E01003991,Southwark 017C,0.15176242041815152,0.5397631927356156,-0.04124601722845063,-0.03146585603101848,0.8263973193831798,0.44425515823419837,-0.11588493096966203,"Hospital
(inv)"
E01003992,Southwark 014A,-0.2952241598558709,0.29436451741750025,-0.16784332051043616,0.3427170988902406,0.8249641423790768,0.3893158504481288,0.2846611211344196,"Hospital
(inv)"
E01003993,Southwark 017D,0.17265044457937184,0.6671489374495096,-0.13591080822397578,-0.05924430361990432,0.7093112743662229,0.43478907658816657,-0.11149671148129309,"Hospital
(inv)"
E01003995,Southwark 014B,-0.2811237484784982,0.6295218435727921,-0.09155720864709642,-0.5746716266903656,0.43132526650766956,0.6174948225318878,0.04199398737761595,Overcrowding
E01003997,Southwark 017E,-0.37584713231054334,0.7390925044657768,0.03871605709643326,-0.466274941409294,-0.30589205434778993,0.397184374996876,-0.13836282134899397,Overcrowding
E01003998,Southwark 014D,-0.20759243129179344,0.6736435897991986,-0.023259590342811266,-0.6452975375728086,0.29352985512953267,0.48120632528544194,-0.14743401807943868,Overcrowding
E01004003,Southwark 023B,-0.7772274439482868,-0.5799113517952709,0.04379455920467475,-0.11729682138567787,0.20962780519167545,0.6421497276927214,0.21371327623772446,"EPC
(inv)"
E01004007,Southwark 018E,0.8376758830947318,0.3491211822899418,0.17085543027272096,-0.2560789139011851,0.2857368137980255,0.5509118952384077,-0.08848819200496746,"EPC
(inv)"
E01004008,Southwark 022B,-0.15647688408960686,0.004479970432801628,-0.16495004353294584,-0.14207767275085062,0.9633796409799776,0.5033187294613544,0.3031575649832157,"Hospital
(inv)"
E01004019,Southwark 026C,-0.1254192485152834,0.05004388196982856,0.002033570993657267,-0.220376821879176,0.9660204671468919,0.6412579143375192,-0.018681135230772503,"Hospital
(inv)"
