lsoa21cd,lsoa21nm,cluster_type,kmeans_label,HEI_bayes,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al
E01003911,Southwark 020A,C,0,0.7241198875528306,0.5014798404726882,0.6421849822839356,0.1049019994478848,0.8966846713718452,0.8131177614892235
E01003912,Southwark 019A,C,0,0.7889974912816958,0.6590489873465287,0.7169541339624299,0.1640572622944364,0.9050962714052008,0.7491471233503847
E01003913,Southwark 024A,D,2,0.6759662793958232,0.5924729328840064,0.3536115008475993,0.3020862089363901,0.7842369340098798,0.8674025864626229
E01003914,Southwark 024B,D,2,0.6886343826471837,0.6743681011950513,0.29459545139854,0.2567338407540339,0.9011854424484872,0.8419378993104314
E01003915,Southwark 024C,C,0,0.4546784957616913,0.3092087515737791,0.476552293942043,0.1045076310289078,0.9684277503054196,0.628479731176469
E01003916,Southwark 020B,C,0,0.579094488852276,0.4945867365719868,0.4615531837111243,0.0974089994873216,0.9696229792612254,0.7052219472226638
E01003917,Southwark 020C,C,0,0.5856230187881901,0.4914889773533787,0.4987079504941082,0.0560003154947355,0.9195140835664044,0.7256426381807056
E01003918,Southwark 020D,C,0,0.8231904372819979,0.4879386155019899,0.6706635307058412,0.0694088417399538,0.8504286472268765,0.958337632519612
E01003919,Southwark 021A,D,2,0.6377960761258022,0.6398563445168872,0.3870245295645725,0.2054659462870225,0.829860507024521,0.7802942762330798
E01003920,Southwark 021B,C,0,0.7180475139463978,0.449620898484201,0.7636602938906087,0.0319438419371378,0.8167801734831903,0.8048487185417774
E01003921,Southwark 021C,C,0,0.8288735395136897,0.4277805654829012,0.8029242250520388,0.112789367827425,0.6942277333078287,0.9859558459632976
E01003922,Southwark 021D,C,0,0.7158767371342343,0.4833716959365104,0.7961028376911361,0.0891272626888044,0.7637610694642443,0.7791025920782435
E01003923,Southwark 017A,D,2,0.7931648398525535,0.608000753426206,0.4759895495666668,0.2476633671175626,0.8374882823783233,0.915279651179572
E01003924,Southwark 021E,C,0,0.9681921684695026,0.6246570299908301,0.9653065783321814,0.0437748945064482,0.8041176724099286,0.9298881016144104
E01003925,Southwark 020E,C,0,0.6944988244331239,0.4916831448575672,0.6002176109763876,0.1206767362069652,0.8716354593903496,0.8101556502683245
E01003926,Southwark 021F,C,0,0.5027690401675493,0.3995678236446391,0.4439029712752598,0.037070631383839,0.8855929300730853,0.7275235989017106
E01033867,Southwark 002F,B,3,0.639090244958512,0.4653426531508211,0.7627511462847016,0.1837756832432869,0.220330027743173,0.9368342208484076
E01033868,Southwark 002G,B,3,0.639090244958512,0.4653426531508211,0.7627511462847016,0.1837756832432869,0.220330027743173,0.9368342208484076
E01003929,Southwark 002B,B,3,0.4606973221719709,0.3773906254142094,0.6168431820158373,0.4578617344323092,0.0876137868619089,0.8087073105131508
E01003930,Southwark 034A,B,3,0.4566878630571802,0.5820738734818338,0.5720040734100201,0.3689316559529934,0.021438662527019,0.7899523013623331
E01003932,Southwark 034B,B,3,0.5410576756083468,0.5864885676972859,0.6430303693122632,0.112789367827425,0.2334787904231947,0.832287736888203
E01003933,Southwark 034C,B,3,0.4366204134506616,0.4731770339639269,0.4937352281419864,0.1823662105138631,0.3844189551040757,0.7626333364574462
E01003934,Southwark 002C,B,3,0.5393806767688355,0.2097162606382708,0.4227049192769363,0.7753283117088029,0.2584595732659991,0.931432115800243
E01003935,Southwark 002D,B,3,0.4161770352722079,0.4225937408335964,0.4071543967857197,0.1640572622944364,0.3043890037944872,0.85960305991305
E01003936,Southwark 009A,B,3,0.5702553135432142,0.3573783111989577,0.5301783585011798,0.3277201561698958,0.4675479169522691,0.887235973722249
E01003937,Southwark 009B,B,3,0.7258128277394432,0.5865706677325779,0.8123509244652078,0.1443388413455859,0.2533325718898198,0.9566528291309402
E01003938,Southwark 006A,B,3,0.6164929149504809,0.2566126428011092,0.7646969771028799,0.1246204203967353,0.3821213949322632,0.9590581076529254
E01003939,Southwark 002E,B,3,0.5419942387260138,0.2874740823122035,0.770283300801379,0.2784241037977695,0.1173576524796715,0.9175695119749752
E01003940,Southwark 006B,C,0,0.7039046743478563,0.3129476954107932,0.8134345835395185,0.1305359466813905,0.7227917146857344,0.8527304727418427
E01003941,Southwark 006C,C,0,0.7404877970963869,0.3082418598879214,0.5743643353147747,0.3511850770990279,0.8382710702527449,0.9045364716769084
E01003942,Southwark 006D,C,0,0.5270805092657501,0.3834198819722266,0.6281178040043253,0.1541980518200111,0.7332644833208788,0.68206312947592
E01003943,Southwark 009C,B,3,0.7042623031951204,0.5210344239299767,0.7803234095519416,0.1640572622944364,0.3688565100774926,0.9381643287868328
E01003945,Southwark 033A,A,1,0.0947922347739692,0.7287363351036243,0.1764350811755929,0.1206767362069652,0.9780924330209292,0.1089193610357328
E01003946,Southwark 033B,A,1,0.2725840948484976,0.6796162129466683,0.1742788419356301,0.2665930512284591,0.9530280836845112,0.3354089034810311
E01003947,Southwark 033C,A,1,0.1922285696013202,0.422777268599905,0.6805398998393177,0.0047324210277241,0.9530616761707776,0.1434100566008039
E01003948,Southwark 033D,C,0,0.5303302436115558,0.5438061260201106,0.4778146764118346,0.112789367827425,0.8852414531334443,0.6383974100714216
E01003949,Southwark 032A,A,1,0.0922606466817343,0.5386854565629311,0.4086395450536496,0.1039160784004423,0.9514396982227704,0.0888165152170047
E01003950,Southwark 032B,A,1,0.0176563536521614,0.3946201866769475,0.4632126514450421,0.0437748945064482,0.9547735451237016,0.0417547100345367
E01003951,Southwark 033E,D,2,0.5091022174688566,0.8704337926452608,0.0525085088808562,0.3454667350238612,0.993503815539826,0.5635527290088169
E01003952,Southwark 030A,D,2,0.8041334029991286,0.7313134986839334,0.3139759687017317,0.3612414717829417,0.873194814308403,0.9083281820896132
E01003953,Southwark 028A,D,2,0.7689716171896053,0.6517141008742429,0.4219432603555071,0.1325077887762756,0.8637899549588937,0.9335828458878134
E01003954,Southwark 030B,D,2,0.6479969600932493,0.6571860012041231,0.2697825575929146,0.3415230508340912,0.91613824605764,0.7691641776218913
E01003955,Southwark 028B,D,2,0.563351045183945,0.6396796798098494,0.3449151708251135,0.3438892613479533,0.929522363502554,0.6138396764675379
E01003956,Southwark 030C,D,2,0.7273365271324862,0.680413414328207,0.2992910582226801,0.2656071301810166,0.9257494296283544,0.8718008100456817
E01003957,Southwark 032C,A,1,0.3638853766174943,0.7743573151684012,0.2733765935496395,0.333635682454551,0.9464519397757762,0.3332667079361692
E01003958,Southwark 032D,D,2,0.4811338369800805,0.6888643911521986,0.3192619115568982,0.3091848404779763,0.9256841109050584,0.5118401028931322
E01003960,Southwark 012A,C,0,0.3618070355225392,0.4574146309872673,0.4515897761872545,0.1317190519383215,0.7061012256758786,0.5523758176999958
E01003961,Southwark 012B,C,0,0.7219188031411846,0.3868106124785074,0.726394475453435,0.1640572622944364,0.8213276007907582,0.832405968704952
E01003963,Southwark 016A,C,0,0.4837248717923437,0.3910684540931911,0.8096742187500456,0.0575777891706435,0.7560959691257013,0.5256743845882104
E01033878,Southwark 015F,C,0,0.6616538255126979,0.5940838585610081,0.5739497189818112,0.1246204203967353,0.9141050711944068,0.7057796929668924
E01033880,Southwark 015H,C,0,0.6616538255126979,0.5940838585610081,0.5739497189818112,0.1246204203967353,0.9141050711944068,0.7057796929668924
E01003966,Southwark 015B,C,0,0.583007440858656,0.5435833773238166,0.6141800809519843,0.0418030524115631,0.8412415169550209,0.6786909647986951
E01033881,Southwark 016F,C,0,0.5771833026516248,0.3425254074595991,0.6179334434376733,0.1443388413455859,0.8413980745299052,0.7338436269242875
E01033879,Southwark 015G,C,0,0.5559769374346512,0.3009510841690365,0.5243763787459502,0.1640572622944364,0.9740535586304524,0.7109818929038434
E01003969,Southwark 017B,C,0,0.7375025934539388,0.5229350510648759,0.552554646490613,0.1769531095949846,0.8319641846367087,0.8795668960022299
E01003971,Southwark 015D,C,0,0.5934164919372577,0.3116264926908886,0.5475509219320269,0.1492684465827985,0.9050143637997976,0.7776276901074824
E01003972,Southwark 016D,C,0,0.6567876783791283,0.4462796773299615,0.7497814107545352,0.0970146310683446,0.8955991363989716,0.6884791950122329
E01003973,Southwark 016E,C,0,0.5632962180177503,0.3277663544050329,0.8286283656834055,0.1640572622944364,0.799119234870078,0.5983217505192462
E01003975,Southwark 004A,C,0,0.6939138208086927,0.3325991932007733,0.7209486416289821,0.0851835784990343,0.9317452737048856,0.7930461421714902
E01003976,Southwark 036D,C,0,0.6617764129793503,0.292035622490232,0.693230385174761,0.2034941041921374,0.8218460033566004,0.8100383757942216
E01003977,Southwark 010A,C,0,0.5600204928065593,0.2040003955126433,0.6606359629918843,0.0398312103166781,0.9715891765129518,0.7315265184360995
E01033870,Southwark 004G,C,0,0.8243516416746419,0.1895424228954668,0.7607882818128302,0.187719367433057,0.9492467516887448,0.9690778719074687
E01033872,Southwark 004I,C,0,0.8243516416746419,0.1895424228954668,0.7607882818128302,0.187719367433057,0.9492467516887448,0.9690778719074687
E01003979,Southwark 006E,C,0,0.6298393046535674,0.3562825046727222,0.7130131045490223,0.2054659462870225,0.855190693196703,0.6959675353033103
E01003980,Southwark 013A,C,0,0.6009342680878669,0.3219888445080524,0.6377819713244917,0.0166313049650984,0.8836333683742017,0.774896282816584
E01003981,Southwark 006F,B,3,0.7047516999157988,0.3689532000474744,0.7284108557216292,0.6018062073589182,0.1698687219840924,0.97014148783984
E01003983,Southwark 018A,C,0,0.4630530859126257,0.343219027518124,0.6026924218042544,0.1640572622944364,0.9020034816973862,0.5531585400645431
E01003984,Southwark 023A,C,0,0.4948681388425795,0.4899806948110299,0.4926551366686069,0.1246204203967353,0.8304297130418157,0.6390465259280822
E01003986,Southwark 011A,C,0,0.651985686149803,0.2440698585335767,0.6706454521994427,0.1640572622944364,0.9085446852731832,0.8023404330975492
E01003987,Southwark 011B,C,0,0.5774381395512815,0.1962984772652076,0.6130069846935857,0.038648105059747,1.0,0.7676948194892292
E01003988,Southwark 018B,C,0,0.9563145353322344,1.0,1.0,0.0181409472729424,0.932965593344878,0.6390465259280822
E01003989,Southwark 018C,C,0,0.4936087519014033,0.2891250564668239,0.6742722733145528,0.0,0.9412047726848346,0.629948761499574
E01003990,Southwark 018D,C,0,0.3632145757914128,0.3225783083243151,0.5373285865248627,0.0319438419371378,0.9300469868991864,0.4991049781355677
E01003991,Southwark 017C,C,0,0.5051910883791066,0.4015633432290735,0.5728584741784052,0.1368458413850227,0.960237819209218,0.5802443744470156
E01003992,Southwark 014A,C,0,0.7509512258654982,0.3577331809280942,0.6866290673716535,0.1019442363055572,0.8727199575580915,0.9123279897404564
E01003993,Southwark 017D,C,0,0.4842436237842702,0.2304957895071062,0.5782696290902076,0.1640572622944364,0.9522081781863748,0.6328799252898067
E01003994,Southwark 012E,C,0,0.3862849641302345,0.4648626777669322,0.5253972629989435,0.2153251567614478,0.6720919437463664,0.5199008033162726
E01003995,Southwark 014B,C,0,0.4956301219812136,0.5145687665904235,0.9089095066854808,0.1522262097251261,0.57184947639459,0.4752867662149341
E01003997,Southwark 017E,A,1,0.4295059894735707,0.567540252733796,0.4278958998853014,0.1049019994478848,0.8529418628660795,0.5451174329822465
E01003998,Southwark 014D,A,1,0.3999053504360267,0.5603537720120747,0.4877296137952122,0.261071893362781,0.6885335995246179,0.4900657433085452
